id,start_datetime,stop_datetime,region_id,genotype,replicate,uid,t,asleep
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,70200,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,71100,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,72000,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,72900,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,73800,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,74700,0.333333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,75600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,76500,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,77400,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,78300,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,79200,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,80100,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,81000,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,81900,0.533333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,82800,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,83700,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,84600,0.866666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,85500,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,86400,0.066666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,87300,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,88200,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,89100,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,90000,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,90900,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,91800,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,92700,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,93600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,94500,0.533333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,95400,0.666666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,96300,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,97200,0.466666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,98100,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,99000,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,99900,0.466666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,100800,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,101700,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,102600,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,103500,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,104400,0.8
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,105300,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,106200,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,107100,0.6
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,108000,0.133333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,108900,1
